"Adresse","Inhaltstyp","Status-Code","Status","Indexierbarkeit","Indexierbarkeitsstatus","Inlinks","Antwortzeit","Umleitungs-URL","Umleitungs-Typ"
"https://github.com/NADOOIT/NADOO-RemoteSetup/blob/main/Platzhalter-für-Bild-Fork.png","text/html; charset=utf-8","404","Not Found","Nicht indexierbar","Client-Fehler","1","0,358","",""
"https://resources.github.com/whitepapers/Collaboration-DevOps-success/","text/html; charset=utf-8","404","Not Found","Nicht indexierbar","Client-Fehler","1","0,123","",""
"https://resources.github.com/webcasts/Culture-matters-CET/","text/html; charset=utf-8","404","Not Found","Nicht indexierbar","Client-Fehler","1","0,160","",""
